"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-01-01 ~ 2024-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강남구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","서울특별시 강남구 자곡동","602","0602","0000","강남자곡아이파크","59.9600","202412","31","134,500","703","3","개인","개인","2014","자곡로 175","-","중개거래","서울 강남구","25.04.07"
"2","서울특별시 강남구 도곡동","527","0527","0000","도곡렉슬","120.8233","202412","31","365,000","404","22","개인","개인","2006","선릉로 221","-","중개거래","서울 강남구","25.02.27"
"3","서울특별시 강남구 삼성동","16-2","0016","0002","삼성동힐스테이트 1단지","84.2360","202412","31","288,000","1단지 103","11","개인","개인","2008","학동로68길 29","-","중개거래","서울 강남구","25.04.16"
"4","서울특별시 강남구 역삼동","754-1","0754","0001","역삼푸르지오","59.8848","202412","31","220,000","111","9","개인","개인","2006","언주로 332","-","중개거래","서울 강남구","25.03.14"
"5","서울특별시 강남구 논현동","275","0275","0000","동부센트레빌","84.9875","202412","31","179,000","101","5","개인","개인","2003","언주로116길 6","-","중개거래","서울 강남구","25.03.31"
"6","서울특별시 강남구 개포동","1281","1281","0000","디에이치아너힐즈","94.8407","202412","31","402,500","320","31","개인","개인","2019","삼성로 11","-","중개거래","서울 강남구","25.04.30"
"7","서울특별시 강남구 논현동","22","0022","0000","신동아(22)","35.7300","202412","30","88,800","102","10","개인","개인","1997","강남대로146길 28","-","중개거래","서울 강남구","25.04.07"
"8","서울특별시 강남구 압구정동","493","0493","0000","한양2","175.9200","202412","30","645,000","22","1","개인","개인","1978","압구정로 347","-","중개거래","서울 강남구","25.04.28"
"9","서울특별시 강남구 역삼동","713-11","0713","0011","역삼I'PARK","116.2850","202412","29","321,500","206","13","개인","개인","2006","역삼로 307","-","중개거래","서울 강남구","25.03.24"
"10","서울특별시 강남구 개포동","649","0649","0000","경남1","96.9800","202412","28","273,000","3","7","개인","개인","1984","언주로 110","-","중개거래","서울 강남구","25.05.26"
"11","서울특별시 강남구 도곡동","964","0964","0000","현대그린1","84.9300","202412","28","171,000","현대그린아파트","11","개인","개인","2006","논현로51길 25","-","중개거래","서울 강남구","25.05.30"
"12","서울특별시 강남구 개포동","649","0649","0000","경남1","123.2800","202412","28","340,000","1","4","개인","개인","1984","언주로 110","-","중개거래","서울 강남구","25.02.20"
"13","서울특별시 강남구 삼성동","142-3","0142","0003","LG선릉에클라트(B)","36.3500","202412","28","31,800","LG선릉에클라트B","11","개인","개인","2004","테헤란로63길 12","-","중개거래","서울 강남구","25.02.07"
"14","서울특별시 강남구 개포동","654","0654","0000","현대2","84.8100","202412","28","262,500","213","7","개인","개인","1986","언주로 107","-","직거래","-","25.05.09"
"15","서울특별시 강남구 도곡동","933","0933","0000","도곡쌍용예가","207.5200","202412","28","285,000","105","12","개인","개인","1978","남부순환로363길 30","-","중개거래","서울 서초구","25.05.01"
"16","서울특별시 강남구 압구정동","369-1","0369","0001","현대2차(10,11,20,23,24,25동)","160.2800","202412","28","680,000","24","1","개인","개인","1976","압구정로29길 71","-","중개거래","서울 강남구","25.03.04"
"17","서울특별시 강남구 도곡동","91-5","0091","0005","삼성래미안","122.8100","202412","28","292,000","102","10","개인","개인","2001","남부순환로 2803","-","중개거래","서울 강남구","25.03.28"
"18","서울특별시 강남구 삼성동","50","0050","0000","현대힐스테이트2단지","40.7630","202412","27","149,000","2단지 202","9","개인","개인","2008","삼성로111길 8","-","중개거래","서울 강남구","25.04.07"
"19","서울특별시 강남구 대치동","66","0066","0000","쌍용대치아파트1동,2동,3동,5동,6동","83.5600","202412","27","301,500","3","15","개인","개인","1983","영동대로 210","-","중개거래","서울 강남구","25.02.28"
"20","서울특별시 강남구 도곡동","467","0467","0000","타워팰리스1","244.6600","202412","27","780,000","씨","43","개인","개인","2002","언주로30길 56","-","중개거래","서울 강남구","25.05.28"
"21","서울특별시 강남구 논현동","276-1","0276","0001","아크로힐스논현","84.0740","202412","27","240,000","101","27","개인","개인","2014","언주로 604","-","중개거래","서울 강남구","25.02.25"
"22","서울특별시 강남구 논현동","58-2","0058","0002","마일스디오빌","36.2900","202412","27","39,800","-","6","개인","개인","2004","학동로 165","-","중개거래","서울 강남구, 서울 광진구","25.02.28"
"23","서울특별시 강남구 역삼동","709-5","0709","0005","테헤란아이파크","70.8333","202412","26","250,000","102","15","개인","개인","2014","테헤란로52길 16","-","중개거래","서울 강남구","25.04.02"
"24","서울특별시 강남구 압구정동","455","0455","0000","현대5차(71,72동)","82.2300","202412","26","480,000","71","13","개인","개인","1977","압구정로29길 68","-","중개거래","서울 강남구","25.04.07"
"25","서울특별시 강남구 압구정동","426","0426","0000","신현대9차","152.2800","202412","26","590,000","107","1","개인","개인","1982","압구정로 151","-","중개거래","서울 강남구","25.02.13"
"26","서울특별시 강남구 삼성동","78-4","0078","0004","청구아파트","84.9900","202412","26","229,000","103","7","개인","개인","1992","영동대로128길 5","-","중개거래","서울 강남구","25.03.10"
"27","서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.1800","202412","25","104,000","209","14","개인","개인","1992","개포로109길 9","-","중개거래","경기 과천시, 서울 강남구","25.02.27"
"28","서울특별시 강남구 일원동","743","0743","0000","디에이치자이개포","84.7300","202412","25","330,000","804동","25","개인","개인","2021","영동대로 22","-","중개거래","서울 강남구","25.03.31"
"29","서울특별시 강남구 논현동","22","0022","0000","신동아(22)","35.7300","202412","25","85,000","101","12","개인","개인","1997","강남대로146길 28","-","중개거래","서울 강남구","24.12.30"
"30","서울특별시 강남구 압구정동","490","0490","0000","한양1차(영동한양)","63.8700","202412","24","388,000","2","5","개인","개인","1977","압구정로 321","-","중개거래","서울 강남구","25.03.04"
"31","서울특별시 강남구 도곡동","934-10","0934","0010","도곡우성아파트","84.8300","202412","24","198,000","2","4","개인","개인","1986","남부순환로363길 49","-","중개거래","서울 강남구","25.03.24"
"32","서울특별시 강남구 자곡동","687","0687","0000","래미안포레","59.9700","202412","24","138,000","314","6","개인","개인","2014","밤고개로21길 25","-","중개거래","서울 강남구","25.03.27"
"33","서울특별시 강남구 도곡동","465","0465","0000","우성4","152.7400","202412","24","405,000","1","6","개인","개인","1985","언주로 117","-","중개거래","서울 강남구","25.03.05"
"34","서울특별시 강남구 논현동","245","0245","0000","동양파라곤","160.3300","202412","23","370,000","101","12","개인","개인","2004","언주로130길 30","-","중개거래","서울 강남구","24.12.27"
"35","서울특별시 강남구 도곡동","467-7","0467","0007","아카데미스위트1","122.0700","202412","23","220,000","에이","6","개인","개인","2004","언주로30길 21","-","중개거래","서울 강남구","25.01.08"
"36","서울특별시 강남구 압구정동","456","0456","0000","현대7차(73~77,82,85동)","144.2000","202412","23","648,000","74","4","개인","개인","1979","압구정로 201","-","중개거래","서울 강남구","25.03.20"
"37","서울특별시 강남구 대치동","511","0511","0000","한보미도맨션2","115.0500","202412","23","355,000","210","1","개인","개인","1985","삼성로 150","-","중개거래","서울 강남구","25.03.31"
"38","서울특별시 강남구 도곡동","969","0969","0000","도곡2차I'PARK","198.1300","202412","23","310,000","101","11","개인","개인","2006","도곡로14길 28","-","중개거래","서울 강남구","25.03.26"
"39","서울특별시 강남구 도곡동","467-7","0467","0007","아카데미스위트1","164.8700","202412","23","347,800","에이","46","법인","개인","2004","언주로30길 21","-","직거래","-","25.01.07"
"40","서울특별시 강남구 압구정동","456","0456","0000","현대6차(78~81,83,84,86,87동)","196.7000","202412","23","795,000","79","5","개인","개인","1978","압구정로 201","-","중개거래","서울 강남구","25.03.21"
"41","서울특별시 강남구 수서동","746","0746","0000","까치마을","39.6000","202412","22","103,200","1002","13","개인","개인","1993","광평로19길 10","-","중개거래","서울 강남구","25.03.17"
"42","서울특별시 강남구 자곡동","686","0686","0000","강남한양수자인(4단지)","114.4600","202412","22","199,000","409","10","개인","개인","2014","자곡로 260","-","중개거래","서울 강남구","25.03.24"
"43","서울특별시 강남구 청담동","23","0023","0000","현대아파트","84.9200","202412","21","179,000","201","8","개인","개인","1988","선릉로 748","-","중개거래","서울 강남구, 서울 서초구","25.02.14"
"44","서울특별시 강남구 수서동","712","0712","0000","수서한아름","97.6300","202412","21","180,000","107","1","개인","개인","1993","광평로51길 22","-","중개거래","서울 강남구","25.02.14"
"45","서울특별시 강남구 역삼동","722","0722","0000","경남아너스빌","81.0130","202412","21","147,000","-","3","개인","개인","2002","언주로85길 13","-","중개거래","서울 강남구","25.05.20"
"46","서울특별시 강남구 세곡동","525","0525","0000","강남데시앙파크","84.9500","202412","21","120,000","511","4","개인","개인","2011","헌릉로590길 63","-","중개거래","서울 강남구","25.03.31"
"47","서울특별시 강남구 도곡동","869","0869","0000","삼익","104.0100","202412","21","191,000","2","3","개인","개인","1983","논현로 218","-","중개거래","서울 강남구","25.02.21"
"48","서울특별시 강남구 대치동","670","0670","0000","동부센트레빌","121.7400","202412","21","460,000","102","17","개인","개인","2005","선릉로 206","-","중개거래","서울 강남구","25.02.28"
"49","서울특별시 강남구 대치동","670","0670","0000","동부센트레빌","145.8300","202412","21","520,000","104","7","개인","개인","2005","선릉로 206","-","중개거래","서울 강남구","25.03.31"
"50","서울특별시 강남구 도곡동","467-17","0467","0017","타워팰리스2","164.9900","202412","21","470,000","이","30","개인","개인","2003","언주로30길 57","-","중개거래","서울 강남구","25.02.05"
"51","서울특별시 강남구 개포동","179","0179","0000","우성8","79.6100","202412","21","225,000","802","7","개인","개인","1987","개포로 411","-","중개거래","서울 강남구","25.04.16"
"52","서울특별시 강남구 개포동","1281","1281","0000","디에이치아너힐즈","84.6348","202412","21","324,000","308","17","개인","개인","2019","삼성로 11","-","중개거래","서울 강남구","25.02.25"
"53","서울특별시 강남구 개포동","176-2","0176","0002","대치푸르지오발라드","41.3882","202412","20","103,632","1동","4","개인","법인","2024","개포로 407","-","직거래","-","25.03.14"
"54","서울특별시 강남구 대치동","1027","1027","0000","래미안대치팰리스","94.4900","202412","20","400,000","111","3","개인","개인","2015","삼성로51길 37","-","중개거래","서울 강남구","25.02.28"
"55","서울특별시 강남구 압구정동","426","0426","0000","신현대9차","152.3900","202412","20","705,000","106","4","개인","개인","1982","압구정로 151","-","중개거래","서울 강남구","25.01.31"
"56","서울특별시 강남구 압구정동","434","0434","0000","신현대12차","110.8200","202412","20","510,000","116","8","개인","개인","1982","압구정로 151","-","중개거래","서울 강남구","25.03.28"
"57","서울특별시 강남구 역삼동","709-5","0709","0005","테헤란아이파크","92.6232","202412","20","275,000","105","8","개인","개인","2014","테헤란로52길 16","-","중개거래","서울 강남구","25.02.28"
"58","서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","79.9700","202412","20","208,500","7","5","개인","개인","1987","언주로 3","-","중개거래","서울 강남구","25.04.04"
"59","서울특별시 강남구 개포동","653","0653","0000","현대1차101동~106동","128.6200","202412","20","308,000","106","7","개인","개인","1984","개포로 303","-","중개거래","서울 강남구","24.12.23"
"60","서울특별시 강남구 개포동","179","0179","0000","우성8","79.6100","202412","19","219,000","803","1","개인","개인","1987","개포로 411","-","중개거래","서울 강남구","25.02.10"
"61","서울특별시 강남구 압구정동","397","0397","0000","미성2차","140.9000","202412","19","459,000","27","1","개인","개인","1987","압구정로 113","-","중개거래","서울 강남구","25.04.30"
"62","서울특별시 강남구 역삼동","710","0710","0000","현대까르띠에710","149.7000","202412","19","300,000","103","16","개인","개인","2001","언주로86길 12","-","중개거래","서울 강남구","25.02.07"
"63","서울특별시 강남구 세곡동","525","0525","0000","강남데시앙파크","84.9500","202412","19","100,000","501","3","개인","개인","2011","헌릉로590길 63","-","직거래","-","24.12.23"
"64","서울특별시 강남구 역삼동","706-10","0706","0010","우림루미아트2","23.6600","202412","19","21,000","-","8","개인","개인","2003","언주로90길 4","-","중개거래","서울 강남구","24.12.19"
"65","서울특별시 강남구 역삼동","761-10","0761","0010","대림역삼","84.9600","202412","19","185,000","-","9","개인","개인","1997","언주로 316","-","중개거래","서울 강남구","25.01.21"
"66","서울특별시 강남구 압구정동","448","0448","0000","현대13차(208~211동)","105.3100","202412","19","500,000","208","4","개인","개인","1984","압구정로29길 23","-","중개거래","서울 강남구","25.07.01"
"67","서울특별시 강남구 압구정동","481","0481","0000","현대8차(성수현대:91~95동)","163.6700","202412","19","645,000","92","4","개인","개인","1980","압구정로 309","-","중개거래","서울 강남구","25.02.20"
"68","서울특별시 강남구 개포동","1280","1280","0000","래미안블레스티지","84.9430","202412","19","280,000","203","21","개인","개인","2019","선릉로 8","-","중개거래","서울 강남구","25.03.27"
"69","서울특별시 강남구 청담동","134-38","0134","0038","청담자이","49.5930","202412","18","205,000","102","3","개인","개인","2011","영동대로138길 12","-","중개거래","서울 강남구","25.02.17"
"70","서울특별시 강남구 수서동","712","0712","0000","수서한아름","97.6300","202412","18","182,500","103","5","개인","개인","1993","광평로51길 22","-","중개거래","서울 강남구","25.06.16"
"71","서울특별시 강남구 수서동","799","0799","0000","강남 더샵 포레스트","124.5792","202412","18","290,000","206동","7","개인","개인","2016","광평로34길 35","-","중개거래","서울 강남구","25.03.06"
"72","서울특별시 강남구 역삼동","755-4","0755","0004","e-편한세상","59.6060","202412","18","217,800","102","1","개인","개인","2005","선릉로69길 20","-","중개거래","서울 강남구, 서울 도봉구","25.04.30"
"73","서울특별시 강남구 도곡동","967","0967","0000","경남","59.7600","202412","18","163,500","104","19","개인","개인","2005","논현로 209","-","중개거래","서울 강남구, 서울 송파구","25.01.23"
"74","서울특별시 강남구 논현동","276-1","0276","0001","아크로힐스논현","84.0740","202412","18","232,000","101","20","개인","개인","2014","언주로 604","-","중개거래","서울 강남구","25.03.18"
"75","서울특별시 강남구 대치동","511","0511","0000","한보미도맨션1","84.4800","202412","17","335,000","102","9","개인","개인","1983","삼성로 150","-","중개거래","서울 강남구","25.02.28"
