"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 노원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","서울특별시 노원구 하계동","271-3","0271","0003","벽산","57.7100","202512","31","59,800","12","11","개인","개인","1988","섬밭로 229","-","중개거래","서울 노원구","26.03.26"
"2","서울특별시 노원구 공릉동","760","0760","0000","화랑대디오베이션","59.9883","202512","31","66,500","화랑대 디오베이션","7","개인","개인","2021","노원로1길 95","-","중개거래","서울 노원구","26.02.27"
"3","서울특별시 노원구 공릉동","755","0755","0000","비콘아파트","84.7070","202512","31","57,500","101","2","개인","개인","2004","공릉로 130","-","중개거래","서울 노원구","26.03.03"
"4","서울특별시 노원구 공릉동","106","0106","0000","공릉해링턴플레이스","99.9170","202512","31","86,000","307","10","개인","개인","2000","노원로 62","-","중개거래","서울 노원구","26.02.27"
"5","서울특별시 노원구 공릉동","670-20","0670","0020","노원프레미어스엠코","84.0261","202512","31","92,500","101","24","개인","개인","2016","동일로 986","-","중개거래","서울 노원구","26.02.26"
"6","서울특별시 노원구 상계동","458","0458","0000","한신3차","84.5900","202512","31","61,000","10","9","개인","개인","1990","한글비석로46가길 34","-","중개거래","서울 노원구","26.04.03"
"7","서울특별시 노원구 월계동","18","0018","0000","한진한화그랑빌","84.9700","202512","31","92,900","122","7","개인","개인","2002","마들로 31","-","중개거래","서울 노원구","26.03.06"
"8","서울특별시 노원구 중계동","515-2","0515","0002","건영2","84.9600","202512","31","82,000","106","9","개인","개인","1991","덕릉로 517","-","중개거래","서울 노원구","26.04.24"
"9","서울특별시 노원구 중계동","593","0593","0000","삼성","114.4900","202512","31","83,000","102","1","개인","개인","1999","중계로14나길 25","-","중개거래","서울 노원구","26.02.13"
"10","서울특별시 노원구 중계동","362-1","0362","0001","주공8","49.7200","202512","31","57,500","806","9","개인","개인","1993","한글비석로5길 62","-","중개거래","서울 노원구","26.02.27"
"11","서울특별시 노원구 상계동","749-5","0749","0005","상계주공4(고층)","58.0100","202512","31","60,000","409","4","개인","개인","1988","동일로214길 21","-","중개거래","서울 노원구","26.03.20"
"12","서울특별시 노원구 상계동","173-1","0173","0001","벽산","75.0300","202512","31","55,500","105","4","개인","개인","1989","한글비석로 396","-","중개거래","서울 노원구","26.03.18"
"13","서울특별시 노원구 상계동","626","0626","0000","상계주공14(고층)","49.9400","202512","31","50,500","1403","9","개인","개인","1989","동일로228길 23","-","중개거래","서울 노원구","26.03.09"
"14","서울특별시 노원구 상계동","1078","1078","0000","현대2차","82.6800","202512","31","54,000","204","10","개인","개인","1993","동일로231길 86","-","중개거래","서울 노원구","26.03.06"
"15","서울특별시 노원구 상계동","766-1","0766","0001","미도","87.5700","202512","31","75,000","103","6","개인","개인","1988","덕릉로 459-18","-","중개거래","서울 노원구","26.02.27"
"16","서울특별시 노원구 중계동","515-2","0515","0002","건영2","84.9600","202512","31","82,000","-","9","개인","개인","1991","덕릉로 517","20260123","중개거래","서울 노원구","-"
"17","서울특별시 노원구 하계동","271-3","0271","0003","건영","45.5500","202512","31","42,000","5","3","개인","개인","1988","섬밭로 229","-","중개거래","서울 노원구","26.02.10"
"18","서울특별시 노원구 하계동","273","0273","0000","장미(시영6)","59.4600","202512","31","71,500","-","13","개인","개인","1989","섬밭로 196","20260316","중개거래","서울 노원구","-"
"19","서울특별시 노원구 공릉동","758","0758","0000","태릉해링턴플레이스","49.9800","202512","31","74,000","101","7","개인","개인","2022","공릉로34길 86","-","중개거래","서울 노원구","26.02.06"
"20","서울특별시 노원구 상계동","749-5","0749","0005","상계주공4(고층)","58.0100","202512","30","60,000","405","3","개인","개인","1988","동일로214길 21","-","중개거래","서울 노원구","26.03.16"
"21","서울특별시 노원구 상계동","720","0720","0000","상계주공6(고층)","58.0100","202512","30","71,000","605","10","개인","개인","1988","노해로 508","-","중개거래","서울 노원구","26.03.20"
"22","서울특별시 노원구 상계동","765","0765","0000","상계주공1(고층)","58.0100","202512","30","57,400","121","7","개인","개인","1988","덕릉로 459-21","-","중개거래","서울 노원구","26.03.19"
"23","서울특별시 노원구 상계동","749-5","0749","0005","상계주공4(고층)","59.2000","202512","30","60,000","413","7","개인","개인","1988","동일로214길 21","-","중개거래","서울 노원구","26.02.06"
"24","서울특별시 노원구 상계동","1285","1285","0000","동아불암","114.2400","202512","30","70,000","102","4","개인","개인","1999","덕릉로 780","-","중개거래","서울 노원구","26.03.12"
"25","서울특별시 노원구 상계동","666","0666","0000","상계주공10(고층)","49.9400","202512","30","56,000","1015","8","개인","개인","1988","노원로 564","-","중개거래","서울 노원구","26.03.06"
"26","서울특별시 노원구 상계동","765","0765","0000","상계주공1(고층)","59.2800","202512","30","54,500","123","6","개인","개인","1988","덕릉로 459-21","-","중개거래","서울 노원구","26.02.27"
"27","서울특별시 노원구 상계동","720","0720","0000","상계주공6(고층)","32.3900","202512","30","43,000","606","12","개인","개인","1988","노해로 508","-","중개거래","서울 노원구","26.02.24"
"28","서울특별시 노원구 상계동","626","0626","0000","상계주공14(저층)","84.4100","202512","30","77,600","1412","2","개인","개인","1989","동일로228길 23","-","중개거래","서울 노원구","26.02.23"
"29","서울특별시 노원구 상계동","765","0765","0000","상계주공1(고층)","58.0100","202512","30","59,000","121","8","개인","개인","1988","덕릉로 459-21","-","중개거래","서울 노원구","26.02.09"
"30","서울특별시 노원구 중계동","512","0512","0000","중계무지개","59.2600","202512","30","60,000","201","6","개인","개인","1991","동일로208길 19","-","중개거래","서울 노원구","26.03.16"
