"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 성동구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","서울특별시 성동구 행당동","346","0346","0000","행당한진타운","59.9600","202512","31","165,000","107","12","개인","개인","2000","행당로 82","-","중개거래","서울 성동구","26.03.31"
"2","서울특별시 성동구 마장동","818","0818","0000","현대","84.9100","202512","31","118,000","107","12","개인","개인","1998","살곶이길 50","-","중개거래","서울 성동구","26.02.12"
"3","서울특별시 성동구 하왕십리동","1002","1002","0000","왕십리KCC스위첸","64.2360","202512","31","137,500","101","8","개인","개인","2016","무학봉길 35","-","중개거래","서울 성동구","26.03.25"
"4","서울특별시 성동구 옥수동","428","0428","0000","극동","68.5800","202512","31","172,000","7","13","개인","개인","1986","독서당로 191","-","중개거래","서울 성동구","26.02.25"
"5","서울특별시 성동구 옥수동","561","0561","0000","래미안 옥수 리버젠","59.9800","202512","31","224,000","105","3","개인","개인","2012","매봉길 15","-","중개거래","서울 성동구","26.03.30"
"6","서울특별시 성동구 하왕십리동","1061","1061","0000","왕십리풍림아이원","59.9360","202512","31","145,000","110","5","개인","개인","2004","난계로 84","-","중개거래","서울 성동구","26.03.27"
"7","서울특별시 성동구 행당동","376","0376","0000","서울숲행당푸르지오","59.8100","202512","31","162,500","103","3","개인","개인","2011","고산자로 177","-","중개거래","서울 동대문구","26.02.26"
"8","서울특별시 성동구 금호동4가","800","0800","0000","대우","84.7100","202512","30","188,000","102","8","개인","개인","2001","독서당로 272","-","중개거래","서울 성동구","26.02.27"
"9","서울특별시 성동구 금호동1가","1823","1823","0000","이편한세상금호파크힐스","59.9490","202512","30","215,000","109","8","개인","개인","2019","금호로 140","-","중개거래","서울 성동구","26.04.20"
"10","서울특별시 성동구 송정동","90","0090","0000","건영","84.9450","202512","30","102,000","101","12","개인","개인","2000","동일로 263","-","중개거래","서울 성동구","26.03.12"
"11","서울특별시 성동구 금호동4가","1553","1553","0000","힐스테이트서울숲리버","59.9800","202512","30","145,500","102","15","개인","개인","2018","독서당로 344","-","직거래","-","26.03.17"
"12","서울특별시 성동구 하왕십리동","1070","1070","0000","센트라스","59.9400","202512","30","201,000","111","6","개인","개인","2016","왕십리로 410","-","중개거래","서울 성동구, 서울 중구","26.03.27"
"13","서울특별시 성동구 행당동","380","0380","0000","서울숲리버뷰자이","84.9600","202512","29","260,000","102","25","개인","개인","2018","고산자로2길 65","-","중개거래","서울 성동구","26.02.13"
"14","서울특별시 성동구 응봉동","15","0015","0000","대림강변타운","59.7600","202512","29","174,000","110","14","개인","개인","2001","고산자로 160","-","중개거래","서울 성동구","26.03.10"
"15","서울특별시 성동구 하왕십리동","1061","1061","0000","왕십리풍림아이원","59.9360","202512","29","137,500","103","10","개인","개인","2004","난계로 84","-","중개거래","서울 강남구, 서울 성동구","26.03.27"
"16","서울특별시 성동구 송정동","67-5","0067","0005","히페리온리버팰리스","84.4845","202512","29","101,500","-","8","개인","개인","2022","송정길 32","-","중개거래","서울 강동구, 서울 성동구","26.02.27"
"17","서울특별시 성동구 금호동4가","800","0800","0000","대우","114.6000","202512","29","217,000","106","15","개인","개인","2001","독서당로 272","-","중개거래","서울 성동구","26.03.06"
"18","서울특별시 성동구 상왕십리동","811","0811","0000","텐즈힐(2단지)","84.9200","202512","29","215,000","211","7","개인","개인","2014","마장로 137","-","중개거래","서울 성동구, 서울 성북구","26.04.01"
"19","서울특별시 성동구 응봉동","98","0098","0000","금호현대","79.8000","202512","29","160,000","107","8","개인","개인","1990","독서당로 377","-","중개거래","서울 성동구","26.02.27"
"20","서울특별시 성동구 마장동","818","0818","0000","현대","134.7900","202512","29","129,300","109","12","개인","개인","1998","살곶이길 50","-","중개거래","서울 성동구","26.04.09"
"21","서울특별시 성동구 응봉동","98","0098","0000","금호현대","79.8000","202512","29","166,000","107","14","개인","개인","1990","독서당로 377","-","중개거래","서울 성동구","26.02.10"
"22","서울특별시 성동구 송정동","67-5","0067","0005","히페리온리버팰리스","84.4845","202512","29","101,500","-","8","개인","개인","2022","송정길 32","20260127","중개거래","서울 강동구, 서울 성동구","-"
"23","서울특별시 성동구 금호동4가","800","0800","0000","대우","59.9700","202512","27","178,500","111","15","개인","개인","2001","독서당로 272","-","중개거래","서울 성동구","26.03.20"
"24","서울특별시 성동구 마장동","820","0820","0000","왕십리금호어울림","84.9700","202512","27","155,000","104","15","개인","개인","2006","마조로 57","-","중개거래","서울 성동구","26.02.26"
"25","서울특별시 성동구 하왕십리동","1061","1061","0000","왕십리풍림아이원","59.9360","202512","27","138,000","101","3","개인","개인","2004","난계로 84","-","중개거래","서울 성동구","26.04.10"
"26","서울특별시 성동구 행당동","364","0364","0000","행당브라운스톤","84.9400","202512","27","176,000","103","7","개인","개인","2005","행당로 99","-","중개거래","서울 성동구","26.03.30"
"27","서울특별시 성동구 하왕십리동","1061","1061","0000","왕십리풍림아이원","114.9280","202512","27","165,000","106","16","개인","개인","2004","난계로 84","-","중개거래","서울 성동구","26.04.10"
"28","서울특별시 성동구 금호동4가","235","0235","0000","서울숲2차푸르지오","114.7710","202512","27","293,500","201","8","개인","개인","2012","금호로 17","-","중개거래","서울 성동구","26.03.10"
"29","서울특별시 성동구 하왕십리동","1061","1061","0000","왕십리풍림아이원","114.9280","202512","27","165,000","-","16","개인","개인","2004","난계로 84","20251230","중개거래","서울 성동구","-"
"30","서울특별시 성동구 옥수동","436","0436","0000","극동그린","114.3200","202512","27","175,000","102","11","개인","개인","1997","독서당로 175","-","중개거래","서울 성동구","26.04.10"
"31","서울특별시 성동구 성수동1가","704","0704","0000","한진타운","59.4000","202512","26","216,000","101","14","개인","개인","1994","뚝섬로 310","-","중개거래","서울 성동구, 서울 양천구","26.04.06"
"32","서울특별시 성동구 금호동3가","1662","1662","0000","금호한신","84.9600","202512","26","150,000","-","1","개인","개인","2005","금호산길 27","20260120","중개거래","서울 성동구","-"
"33","서울특별시 성동구 금호동3가","1662","1662","0000","금호한신","84.9600","202512","26","150,000","101","1","개인","개인","2005","금호산길 27","-","중개거래","서울 성동구","26.03.26"
"34","서울특별시 성동구 사근동","199","0199","0000","중앙하이츠","71.8500","202512","26","80,000","101","15","개인","개인","1989","사근동길 65","-","중개거래","서울 성동구","26.03.20"
"35","서울특별시 성동구 응봉동","276","0276","0000","서울숲리버그린동아아파트","114.8600","202512","26","135,000","301","4","개인","개인","2003","고산자로4길 34","-","직거래","-","25.12.29"
"36","서울특별시 성동구 하왕십리동","1070","1070","0000","센트라스","59.9500","202512","26","200,000","128","7","개인","개인","2016","왕십리로 410","-","중개거래","서울 성동구","26.04.23"
"37","서울특별시 성동구 하왕십리동","258","0258","0000","벽산","84.9400","202512","26","149,000","106","21","개인","개인","1996","무학로 50","-","중개거래","서울 성동구","26.04.03"
"38","서울특별시 성동구 옥수동","250","0250","0000","옥수삼성","59.7000","202512","26","198,000","103","16","개인","개인","1999","독서당로 218","-","중개거래","서울 성동구","26.03.16"
"39","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","84.3000","202512","26","270,000","107","2","개인","개인","2016","매봉길 50","-","중개거래","서울 마포구","26.03.04"
"40","서울특별시 성동구 행당동","347","0347","0000","대림e-편한세상","84.8700","202512","26","173,000","119","6","개인","개인","2000","행당로 79","-","중개거래","서울 성동구","26.03.03"
"41","서울특별시 성동구 용답동","226-4","0226","0004","YM프라젠","59.9400","202512","26","68,000","101","3","개인","개인","2007","자동차시장1길 14","-","중개거래","서울 성동구","26.02.25"
"42","서울특별시 성동구 하왕십리동","1070","1070","0000","센트라스","59.9400","202512","26","202,000","119","11","개인","개인","2016","왕십리로 410","-","중개거래","서울 성동구","26.03.20"
"43","서울특별시 성동구 마장동","825","0825","0000","대성유니드","84.7100","202512","26","130,000","102","14","개인","개인","2004","마장로37길 7","-","중개거래","서울 성동구","26.03.30"
"44","서울특별시 성동구 마장동","817","0817","0000","왕십리삼성아파트","84.9300","202512","26","137,500","102","12","개인","개인","1996","마장로 271","-","중개거래","서울 성동구","26.03.26"
"45","서울특별시 성동구 하왕십리동","992","0992","0000","무학현대","84.6750","202512","26","112,500","102","15","개인","개인","1996","무학봉길 49","-","중개거래","서울 성동구","26.02.26"
"46","서울특별시 성동구 하왕십리동","1066","1066","0000","텐즈힐(1단지)","148.8000","202512","26","260,000","111","16","개인","개인","2015","무학로 33","-","중개거래","서울 마포구, 서울 성동구","26.02.26"
"47","서울특별시 성동구 하왕십리동","1070","1070","0000","센트라스","40.9400","202512","25","120,000","130","27","개인","개인","2016","왕십리로 410","-","중개거래","서울 성동구","26.04.10"
"48","서울특별시 성동구 송정동","104","0104","0000","서울숲아이파크","84.8700","202512","25","130,000","101","7","개인","개인","2009","동일로 237","-","중개거래","서울 성동구","26.02.24"
"49","서울특별시 성동구 성수동2가","442","0442","0000","한신한강","59.9500","202512","24","290,000","102","2","개인","개인","2000","성수이로 3","-","중개거래","서울 성동구","26.03.30"
"50","서울특별시 성동구 옥수동","560","0560","0000","옥수어울림","84.9600","202512","24","230,000","103","14","개인","개인","2011","독서당로40길 37","-","중개거래","대구 수성구, 서울 성동구","26.04.09"
"51","서울특별시 성동구 응봉동","98","0098","0000","금호현대","79.8000","202512","24","153,000","109","1","개인","개인","1990","독서당로 377","-","중개거래","서울 성동구, 서울 영등포구","26.01.28"
"52","서울특별시 성동구 금호동4가","800","0800","0000","대우","84.9600","202512","24","185,000","109","5","개인","개인","2001","독서당로 272","-","중개거래","서울 강남구, 서울 성동구","26.03.06"
"53","서울특별시 성동구 송정동","90","0090","0000","건영","84.9450","202512","24","65,000","101","16","개인","개인","2000","동일로 263","-","직거래","-","26.01.06"
"54","서울특별시 성동구 행당동","345","0345","0000","두산","59.9400","202512","23","110,000","-","24","개인","개인","1997","고산자로14길 40","20251231","중개거래","서울 성동구","-"
"55","서울특별시 성동구 행당동","345","0345","0000","두산","59.9400","202512","23","110,000","102","24","개인","개인","1997","고산자로14길 40","-","중개거래","서울 성동구","26.03.13"
"56","서울특별시 성동구 행당동","347","0347","0000","대림e-편한세상","114.9400","202512","23","198,000","130","8","개인","개인","2000","행당로 79","-","중개거래","서울 성동구","26.03.03"
"57","서울특별시 성동구 송정동","104","0104","0000","서울숲아이파크","84.8800","202512","23","124,000","105","4","개인","개인","2009","동일로 237","-","중개거래","서울 강동구, 서울 성동구","26.02.24"
"58","서울특별시 성동구 금호동1가","1823","1823","0000","이편한세상금호파크힐스","84.9320","202512","23","243,000","113","10","개인","개인","2019","금호로 140","-","중개거래","서울 성동구","26.03.16"
"59","서울특별시 성동구 하왕십리동","1070","1070","0000","센트라스","84.9900","202512","23","234,000","118","8","개인","개인","2016","왕십리로 410","-","중개거래","서울 성동구","26.03.24"
"60","서울특별시 성동구 성수동1가","676-5","0676","0005","서울숲성수현대","84.7300","202512","22","140,000","102","10","개인","개인","1990","서울숲길 25","-","중개거래","서울 성동구","26.02.04"
"61","서울특별시 성동구 행당동","346","0346","0000","행당한진타운","59.9600","202512","21","165,000","107","12","개인","개인","2000","행당로 82","-","중개거래","서울 성동구","26.03.10"
"62","서울특별시 성동구 하왕십리동","1070","1070","0000","센트라스","84.9900","202512","20","232,000","116","18","개인","개인","2016","왕십리로 410","-","중개거래","서울 성동구","26.02.27"
"63","서울특별시 성동구 금호동4가","800","0800","0000","대우","84.9600","202512","20","203,500","110","18","개인","개인","2001","독서당로 272","-","중개거래","서울 성동구","26.03.31"
"64","서울특별시 성동구 성수동1가","676-5","0676","0005","서울숲성수현대","84.7300","202512","20","120,000","-","10","개인","개인","1990","서울숲길 25","20260112","중개거래","서울 성동구","-"
"65","서울특별시 성동구 마장동","820","0820","0000","왕십리금호어울림","114.9700","202512","20","160,000","103","6","개인","개인","2006","마조로 57","-","중개거래","서울 성동구","26.02.20"
"66","서울특별시 성동구 성수동2가","843","0843","0000","서울숲힐스테이트","84.7800","202512","20","255,000","104","7","개인","개인","2009","성수일로4길 26","-","중개거래","서울 성동구","26.03.06"
"67","서울특별시 성동구 행당동","346","0346","0000","행당한진타운","59.9600","202512","20","164,000","115","22","개인","개인","2000","행당로 82","-","중개거래","서울 성동구","26.02.27"
"68","서울특별시 성동구 행당동","344","0344","0000","신동아","59.9700","202512","19","120,000","6","9","개인","개인","1995","독서당로 441","-","중개거래","서울 성동구","26.02.11"
