"동별(1)",동별(2),동별(3),2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"동별(1)",동별(2),동별(3),합계,합계,합계,합계,합계,1~4명,1~4명,5~9명,5~9명,10~19명,10~19명,20~49명,20~49명,50~99명,50~99명,100~299명,100~299명,300~499명,300~499명,500~999명,500~999명,1000명 이상,1000명 이상
"동별(1)",동별(2),동별(3),사업체수 (개),사업체수 (개),종사자수 (명),종사자수 (명),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명)
"동별(1)",동별(2),동별(3),소계,여성대표자,소계,남,여,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"합계",성동구,소계,39264,13180,201023,111482,89541,31823,46864,4061,25776,1947,25289,969,28479,276,19331,144,23758,21,7594,18,12992,5,10940
"합계",성동구,왕십리2동,1217,517,2619,1258,1361,1099,1449,87,528,21,262,7,192,3,188,-,-,-,-,-,-,-,-
"합계",성동구,왕십리도선동,3165,1304,9832,4513,5319,2750,3856,249,1579,104,1291,45,1239,11,764,6,1103,-,-,-,-,-,-
"합계",성동구,마장동,3911,1049,12829,8436,4393,3404,5060,376,2352,87,1069,24,702,12,763,5,781,1,365,2,1737,-,-
"합계",성동구,사근동,1265,411,11126,5162,5964,1069,1656,123,779,46,571,12,345,7,471,3,595,-,-,3,2035,2,4674
"합계",성동구,행당1동,1640,664,10704,4685,6019,1350,2020,156,982,79,1024,37,1101,8,516,6,922,2,749,1,992,1,2398
"합계",성동구,행당2동,1024,495,2339,919,1420,937,1172,51,322,21,260,11,292,4,293,-,-,-,-,-,-,-,-
"합계",성동구,응봉동,655,267,1108,599,509,626,703,22,142,3,42,2,47,2,174,-,-,-,-,-,-,-,-
"합계",성동구,금호1가동,914,408,2156,883,1273,832,1032,45,294,24,318,10,281,3,231,-,-,-,-,-,-,-,-
"합계",성동구,금호2.3가동,1489,716,2943,1222,1721,1373,1725,75,463,32,389,6,175,3,191,-,-,-,-,-,-,-,-
"합계",성동구,금호4가동,989,445,2219,1018,1201,893,1162,69,446,18,218,5,134,4,259,-,-,-,-,-,-,-,-
"합계",성동구,옥수동,1455,703,4841,2323,2518,1270,1687,108,709,46,574,18,439,10,662,3,770,-,-,-,-,-,-
"합계",성동구,성수1가1동,2783,870,14291,7668,6623,2238,3214,289,1872,153,1972,67,1848,16,1265,16,2307,3,1086,1,727,-,-
"합계",성동구,성수1가2동,4764,1449,27551,15557,11994,3515,5604,649,4162,343,4553,185,5506,49,3354,20,3376,3,996,-,-,-,-
"합계",성동구,성수2가1동,3169,968,17197,10912,6285,2438,3640,376,2437,200,2583,110,3279,28,2024,15,2283,1,366,1,585,-,-
"합계",성동구,성수2가3동,7509,1946,63465,36082,27383,5146,8439,1113,7038,696,9189,379,11357,98,6916,61,9880,7,2449,7,4329,2,3868
"합계",성동구,송정동,947,306,2799,1594,1205,847,1147,73,448,13,175,8,259,4,305,2,465,-,-,-,-,-,-
"합계",성동구,용답동,2368,662,13004,8651,4353,2036,3298,200,1223,61,799,43,1283,14,955,7,1276,4,1583,3,2587,-,-
"합계",노원구,월계1동,1815,649,6719,3685,3034,1614,2185,118,754,53,704,17,507,5,318,7,970,-,-,-,-,1,1281
"합계",노원구,월계2동,1391,425,3954,2134,1820,1295,1522,49,312,22,281,9,232,15,1033,-,-,-,-,1,574,-,-
